country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","07-04-2025 18:00:00",28.570173,76.933762,PM10,63,268,184
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","07-04-2025 18:00:00",28.570173,76.933762,SO2,7,21,15
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","07-04-2025 18:00:00",28.570173,76.933762,CO,18,80,51
India,Delhi,Delhi,"Narela, Delhi - DPCC","07-04-2025 18:00:00",28.822836,77.101981,NO2,19,104,51
India,Delhi,Delhi,"Narela, Delhi - DPCC","07-04-2025 18:00:00",28.822836,77.101981,CO,8,88,18
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","07-04-2025 18:00:00",28.567890,77.250515,PM10,97,430,242
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","07-04-2025 18:00:00",28.567890,77.250515,NO2,19,104,60
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","07-04-2025 18:00:00",28.567890,77.250515,CO,2,120,17
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","07-04-2025 18:00:00",28.5627763,77.1180053,CO,38,113,62
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","07-04-2025 18:00:00",28.6811736,77.3025234,OZONE,9,60,47
India,Delhi,Delhi,"ITO, Delhi - CPCB","07-04-2025 18:00:00",28.628624,77.241060,PM10,77,332,175
India,Delhi,Delhi,"Pusa, Delhi - DPCC","07-04-2025 18:00:00",28.639652,77.146275,PM2.5,40,311,132
India,Delhi,Delhi,"Pusa, Delhi - DPCC","07-04-2025 18:00:00",28.639652,77.146275,OZONE,1,77,41
India,Delhi,Delhi,"Pusa, Delhi - IMD","07-04-2025 18:00:00",28.636110,77.173332,NO2,NA,NA,NA
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","07-04-2025 18:00:00",28.580280,77.233829,PM10,80,404,215
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","07-04-2025 18:00:00",28.580280,77.233829,NO2,53,221,143
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","07-04-2025 18:00:00",28.580280,77.233829,CO,45,144,63
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","07-04-2025 18:00:00",28.674045,77.131023,PM2.5,58,393,245
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","07-04-2025 18:00:00",28.674045,77.131023,NO2,20,101,72
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","07-04-2025 18:00:00",28.5627763,77.1180053,NO2,87,142,116
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","07-04-2025 18:00:00",28.530785,77.271255,PM2.5,63,413,254
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","07-04-2025 18:00:00",28.530785,77.271255,OZONE,7,316,315
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","07-04-2025 18:00:00",23.076793,72.627874,SO2,1,12,4
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","07-04-2025 18:00:00",23.076793,72.627874,OZONE,1,50,42
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","07-04-2025 18:00:00",23.043070,72.562968,PM10,49,98,69
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","07-04-2025 18:00:00",21.613267,73.010555,NO2,81,106,93
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","07-04-2025 18:00:00",23.163798,72.677768,NH3,5,18,8
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","07-04-2025 18:00:00",23.243639,72.68994,CO,2,105,43
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","07-04-2025 18:00:00",28.672342,77.315260,NO2,23,113,64
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","07-04-2025 18:00:00",28.672342,77.315260,SO2,1,52,26
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","07-04-2025 18:00:00",28.699793,77.165453,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","07-04-2025 18:00:00",23.107969,72.574648,NO2,36,102,58
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","07-04-2025 18:00:00",23.107969,72.574648,SO2,9,37,16
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","07-04-2025 18:00:00",22.977134,72.553024,PM10,56,353,126
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","07-04-2025 18:00:00",22.977134,72.553024,NO2,9,82,32
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","07-04-2025 18:00:00",22.977134,72.553024,OZONE,1,88,56
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","07-04-2025 18:00:00",28.563262,77.186937,SO2,12,86,58
India,Delhi,Delhi,"Rohini, Delhi - DPCC","07-04-2025 18:00:00",28.732528,77.119920,SO2,8,29,18
India,Delhi,Delhi,"Rohini, Delhi - DPCC","07-04-2025 18:00:00",28.732528,77.119920,CO,20,163,28
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","07-04-2025 18:00:00",28.6514781,77.1473105,PM2.5,134,500,349
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","07-04-2025 18:00:00",28.5504249,77.2159377,SO2,27,76,44
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","07-04-2025 18:00:00",28.710508,77.249485,NO2,16,131,63
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","07-04-2025 18:00:00",23.221714,72.654328,NH3,5,6,5
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","07-04-2025 18:00:00",23.221714,72.654328,OZONE,22,23,22
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","07-04-2025 18:00:00",22.410802,73.097923,PM2.5,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","07-04-2025 18:00:00",20.362421,72.918013,OZONE,2,2,2
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","07-04-2025 18:00:00",22.969611,72.643500,CO,52,100,53
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","07-04-2025 18:00:00",23.020509,72.579261,CO,4,125,9
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","07-04-2025 18:00:00",23.016834,72.625775,OZONE,2,107,82
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","07-04-2025 18:00:00",23.023389,72.515201,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","07-04-2025 18:00:00",23.076793,72.627874,PM10,43,203,82
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","07-04-2025 18:00:00",23.002657,72.591912,SO2,26,78,41
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","07-04-2025 18:00:00",23.002657,72.591912,OZONE,3,34,32
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","07-04-2025 18:00:00",28.531346,77.190156,PM2.5,50,358,167
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","07-04-2025 18:00:00",28.531346,77.190156,OZONE,9,298,255
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","07-04-2025 18:00:00",30.943887,76.801991,PM10,50,288,114
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","07-04-2025 18:00:00",28.422681,77.148944,PM10,33,221,115
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","07-04-2025 18:00:00",15.459706,75.008381,NH3,4,5,4
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","07-04-2025 18:00:00",15.411456,75.638133,PM2.5,7,19,11
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","07-04-2025 18:00:00",15.411456,75.638133,PM10,38,57,47
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","07-04-2025 18:00:00",15.3714823,75.1160168,PM2.5,36,38,37
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","07-04-2025 18:00:00",15.3714823,75.1160168,NO2,7,12,11
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","07-04-2025 18:00:00",15.3714823,75.1160168,CO,6,18,9
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","07-04-2025 18:00:00",17.336318,76.847397,NH3,2,4,3
